index,sent_id,tokens,anno1,anno2
73,GUM_academic_replication-14,four,0,1
74,GUM_academic_replication-13,broad,0,0
75,GUM_academic_replication-12,themes,0,1
76,GUM_academic_replication-11,:,0,1
77,GUM_academic_replication-10,(a),0,0
78,GUM_academic_replication-9,the,0,1
79,GUM_academic_replication-8,quantity,0,1
80,GUM_academic_replication-7,of,0,1
81,GUM_academic_replication-6,replication,0,0
82,GUM_academic_replication-5,research,0,1
83,GUM_academic_replication-4,",",0,1
84,GUM_academic_replication-3,(b),0,0.2
85,GUM_academic_replication-2,the,0,0
86,GUM_academic_replication-1,nature,0,0.5
87,GUM_academic_replication0,of,0,0
88,GUM_academic_replication1,replication,0,0
89,GUM_academic_replication2,research,0,1
90,GUM_academic_replication3,",",0,0
91,GUM_academic_replication4,(c),0,0
92,GUM_academic_replication5,the,0,0
93,GUM_academic_replication6,relationship,1.0391062939495,0
94,GUM_academic_replication7,between,0,0
95,GUM_academic_replication8,initial,0,0
96,GUM_academic_replication9,and,0,0
97,GUM_academic_replication10,replication,0,0
98,GUM_academic_replication11,studies,0,0
99,GUM_academic_replication12,",",0,0
100,GUM_academic_replication13,and,0,0
101,GUM_academic_replication14,(d),0,0
102,GUM_academic_replication15,the,0,0
103,GUM_academic_replication16,interpretation,1.0391062939495,0
104,GUM_academic_replication17,and,1,0
105,GUM_academic_replication18,extent,1,0
106,GUM_academic_replication19,of,1,0
107,GUM_academic_replication20,reproducibility,0,0
108,GUM_academic_replication21,of,1,0
109,GUM_academic_replication22,the,1,0
110,GUM_academic_replication23,findings,0,0
111,GUM_academic_replication24,of,1,0
112,GUM_academic_replication25,initial,1,0
113,GUM_academic_replication26,studies,1,0
114,GUM_academic_replication27,.,0,1.0391062939495
115,GUM_fiction_falling-73,“,1,0
116,GUM_fiction_falling-72,You,1,0
117,GUM_fiction_falling-71,want,0,0
118,GUM_fiction_falling-70,to,0,0
119,GUM_fiction_falling-69,be,0,0
120,GUM_fiction_falling-68,infected,1,0
121,GUM_fiction_falling-67,?,0,0
122,GUM_academic_eegimaa-21,Map,1,0
123,GUM_academic_eegimaa-20,of,0,0
124,GUM_academic_eegimaa-19,Senegal,1,1.0391062939495
125,GUM_academic_eegimaa-18,(,0,1
126,GUM_academic_eegimaa-17,courtesy,0,1
127,GUM_academic_eegimaa-16,of,0,1
128,GUM_academic_eegimaa-15,Google,1,0
129,GUM_academic_eegimaa-14,maps,0,1
130,GUM_academic_exposure-2,),0,1
131,GUM_academic_exposure-1,Research,0,0
132,GUM_academic_exposure0,on,1,1
133,GUM_academic_exposure1,adult-learned,0.413816850303634,1
134,GUM_academic_exposure2,second,1.0391062939495,1
135,GUM_academic_exposure3,language,0,0
136,GUM_academic_exposure4,(,0,1
137,GUM_academic_exposure5,L2,0,1
138,GUM_academic_exposure6,),0.0360413223614584,0
139,GUM_academic_exposure7,has,0,0
140,GUM_academic_exposure8,provided,0,0
141,GUM_academic_exposure9,considerable,1,0
142,GUM_academic_exposure10,insight,0,0
143,GUM_academic_exposure11,into,0,0
144,GUM_academic_exposure12,the,1,0
145,GUM_academic_exposure13,neurocognitive,0,0
146,GUM_academic_exposure14,mechanisms,0,0
147,GUM_academic_exposure15,underlying,0.2,0
148,GUM_academic_exposure16,the,0,0
149,GUM_academic_exposure17,learning,0.5,0
150,GUM_academic_exposure18,and,0,0
151,GUM_academic_exposure19,processing,0,0
152,GUM_academic_exposure20,of,1,0
153,GUM_academic_exposure21,L2,0,0
154,GUM_academic_exposure22,grammar,0,0
155,GUM_academic_exposure23,[,0,0
156,GUM_academic_exposure24,1,0,0
157,GUM_academic_exposure25,],0,0
158,GUM_academic_exposure26,–,0,0
159,GUM_academic_exposure27,[,0,0
160,GUM_academic_exposure28,11,0,0
161,GUM_academic_exposure29,],0,0
162,GUM_academic_exposure30,.,0,0
163,GUM_bio_jespersen-11,He,0,1
164,GUM_bio_jespersen-10,successfully,0,1
165,GUM_bio_jespersen-9,defended,0,1
166,GUM_bio_jespersen-8,his,0,1
167,GUM_bio_jespersen-7,dissertation,0,1
168,GUM_bio_jespersen-6,in,0,1
169,GUM_bio_jespersen-5,1891,0,1
170,GUM_bio_jespersen-4,.,0,0
171,GUM_fiction_teeth-37,And,0,0
172,GUM_fiction_teeth-36,",",0,0
173,GUM_fiction_teeth-35,then,0,0
174,GUM_fiction_teeth-34,",",0,0
175,GUM_fiction_teeth-33,with,0,0
176,GUM_fiction_teeth-32,an,0,0
177,GUM_fiction_teeth-31,awful,1.0391062939495,0
178,GUM_fiction_teeth-30,sucking,0,0
179,GUM_fiction_teeth-29,slurp,0,0
180,GUM_fiction_teeth-28,",",0,0
181,GUM_fiction_teeth-27,it,0,0
182,GUM_fiction_teeth-26,came,0,0
183,GUM_fiction_teeth-25,free,0,0
184,GUM_fiction_teeth-24,.,0,0
